,feature,n,IQR_n_outliers,IQR_outlier_%,IQR_min,IQR_max,IQR_lower_bound,IQR_upper_bound,Z_n_outliers,Z_outlier_%,Z_min,Z_max,Z_lower_bound,Z_upper_bound
0,01030001,6203,251,4.046429147186846,3.582000000000001,7.351583000000001,3.1059625000000013,5.1387185,92,1.4831533129131067,3.582000000000001,7.351583000000001,-3,3
57,02400004,4597,181,3.937350445943006,348.0147,349.688,348.8913,349.72569999999996,101,2.1970850554709593,348.0147,349.688,-3,3
18,02000011,3640,143,3.9285714285714284,52.438,53.5978,52.747137499999994,53.5392375,62,1.7032967032967032,52.438,53.5978,-3,3
131,03070002,7828,307,3.921819110884006,52.7747,58.078,54.383264375,59.017293375,149,1.9034236075625957,52.7747,58.078,-3,3
31,02260001,1770,69,3.898305084745763,319.3366,320.5826,319.5917875,320.16408750000005,13,0.7344632768361582,319.3366,320.5826,-3,3
103,03030012,5372,209,3.89054355919583,41.1664,43.739,41.8634375,44.1321375,110,2.047654504839911,41.1664,43.739,-3,3
86,03020012,2527,98,3.8781163434903045,308.9267,311.6689,309.019625,311.21462499999996,2,0.07914523149980214,308.9267,311.6689,-3,3
295,13000008,1930,72,3.730569948186528,6.338799999999999,11.2226,5.599862500000003,10.778362499999997,0,0.0,6.338799999999999,11.2226,-3,3
174,04020006,2176,80,3.6764705882352944,221.6416,228.458,224.049325,229.81032499999998,20,0.9191176470588236,221.6416,228.458,-3,3
167,04017042,7345,268,3.648740639891082,63.812,68.8943,63.36100000000001,67.225,91,1.238938053097345,63.812,68.8943,-3,3
291,13000004,3472,125,3.6002304147465436,0.633,1.3185,0.6750999999999996,1.0585000000000013,32,0.9216589861751152,0.633,1.3185,-3,3
238,06140001,5694,204,3.5827186512118017,159.071673,160.374427,158.98829224999997,159.90303425000002,75,1.3171759747102214,159.071673,160.374427,-3,3
205,04647001,8321,292,3.509193606537676,49.8907,55.223,50.469500000000004,53.6287,86,1.033529623843288,49.8907,55.223,-3,3
119,03040009,5638,197,3.4941468605888613,27.7378,34.7604,30.733228750000006,36.56402475,178,3.157147924796027,27.7378,34.7604,-3,3
223,05097001,10883,380,3.491684278232105,194.624,197.098,194.65616075000003,196.44399875,94,0.8637324267205734,194.624,197.098,-3,3
195,04300011,3776,126,3.3368644067796613,76.4898,86.944,77.23817537499998,88.09177437500001,0,0.0,76.4898,86.944,-3,3
102,03030011,5473,182,3.32541567695962,198.3904,199.9507,198.98025,200.04145,64,1.1693769413484378,198.3904,199.9507,-3,3
39,02330003,4590,152,3.3115468409586053,166.3673,167.8113,166.26103749999993,167.28313750000007,76,1.6557734204793026,166.3673,167.8113,-3,3
166,04017041,7360,242,3.288043478260869,63.64,69.212,63.17349999999999,67.24950000000001,80,1.0869565217391304,63.64,69.212,-3,3
63,02G47001,7089,231,3.258569614896318,56.84938999999999,59.47899999999999,56.795325999999974,58.60299000000002,78,1.1002962336013542,56.84938999999999,59.47899999999999,-3,3
